       user    system    iowait   softirq
5  4.995023  3.103209 1.9617822 0.5702648
4 27.671183  6.941746 0.5749052 0.5985109
3 20.164766 32.996861 1.4910562 0.5615550
1 59.700555 14.559688 0.3301937 0.8035897
2 43.502298 46.378935 1.7966425 0.6967906

       user    system    iowait   softirq
4  8.348416  5.470358 2.7693517 0.3108809
2 24.254108  7.443208 1.9536883 0.4994618
3 21.304416 32.175339 0.7263718 0.7227887
5 62.365533 15.513847 2.4080302 0.5167795
1 38.863703 51.584460 1.2551770 0.7112915

       user    system   iowait   softirq
4  3.806203  3.669905 1.647742 0.3124184
1 28.405146  7.902229 1.130254 0.7875144
5 20.976845 29.440894 2.155193 0.4103339
3 57.497079 14.990731 2.518475 0.4724834
2 42.181853 51.890445 1.677856 0.5712223

      user   system   iowait   softirq
5  2.02179  6.13275 3.081244 0.3365900
3 29.29180 11.21892 1.452275 0.2502447
1 24.45561 23.43965 2.551319 0.2301838
2 54.11943 19.45574 1.262687 0.6728763
4 48.09098 46.87903 1.403034 0.4770745

        user   system   iowait   softirq
1  0.2259796 10.63011 2.179723 0.8121977
4 31.9008464 13.49418 1.251932 0.2437454
5 22.5484780 29.38822 1.907727 0.5459516
3 51.2939060 17.27976 1.296103 0.6777008
2 46.1253277 43.45482 1.755046 0.8674800

       user    system   iowait   softirq
5  2.159842  9.926986 2.566594 0.1331422
1 27.999768 14.142954 2.483406 0.3199108
4 22.593986 25.657705 1.955451 0.2760653
2 54.399268 22.112029 1.966575 0.3949342
3 48.426276 44.447837 1.986769 0.5792892

      user    system   iowait   softirq
3  9.17027  4.353709 1.172447 0.3392125
2 24.31770  5.256218 1.292151 0.3951591
4 21.98970 31.270777 1.808810 0.5467116
5 62.73386 14.384964 1.205292 0.7000753
1 41.85156 50.676279 2.381827 0.6569724

       user    system    iowait   softirq
5  8.101107  8.591394 2.1388146 0.5995683
3 24.692998 10.005019 1.1676778 0.3502357
4 20.688630 24.637478 2.5197641 0.2752271
1 59.686724 19.515395 0.8789868 0.3381965
2 50.657774 45.229871 2.0049768 0.8074158

      user    system      iowait   softirq
2  4.96275  5.145371 1.122893631 0.6200381
5 27.24856  8.442053 0.623783305 0.4390548
1 18.57904 29.386086 1.584634528 0.5191070
3 58.99573 15.990357 1.791610092 0.8094865
4 43.06388 52.406091 0.001954824 0.7724039

       user    system    iowait   softirq
3  2.753163  9.515118 2.7643547 0.3206923
1 27.924150 13.304101 2.3491998 0.8248952
2 22.446336 23.038747 1.9067945 0.5251163
5 58.479139 17.756530 1.7196849 0.2833972
4 50.297506 43.379729 0.7907331 0.6077054

       user    system    iowait   softirq
5  4.932149  1.693688 0.1246926 0.3067855
4 28.431630  4.420747 1.7142190 0.3537443
2 21.740341 30.368848 0.9821924 0.3015271
3 58.836051 14.377881 1.3033575 0.1731428
1 44.399332 47.030258 0.6381180 0.4185241

      user    system    iowait   softirq
4  2.24861  4.555458 2.3766037 0.8544512
2 30.88713  7.128646 1.4804109 0.8437303
5 20.79102 31.926634 2.4598846 0.2392862
3 55.43117 12.614354 0.9252882 0.1176939
1 41.67221 51.458462 1.0714529 0.1480974

       user    system   iowait   softirq
1  5.265982  8.630703 2.206025 0.4265692
5 25.192031 12.249110 2.061094 0.8758620
3 23.307318 22.740910 1.386805 0.7114560
2 58.113202 21.976521 1.385774 0.2298000
4 50.824245 43.423128 1.228540 1.0931603

       user    system    iowait    softirq
2  6.052933  3.561237 0.8610430 0.49089159
3 26.380934  6.739035 1.0419904 0.43098962
1 25.098090 33.937867 2.1265372 0.09466559
4 62.729717  8.859437 0.2770353 0.88170514
5 68.439261 20.666095 2.0363445 0.33464293

       user    system    iowait   softirq
2  6.615125  8.989339 0.7962769 0.5015751
3 25.615260 10.768367 0.9487055 0.4277808
1 21.151270 27.451789 0.4714699 0.4199992
4 59.491540 17.207990 1.7075147 0.3564689
5 47.288777 48.529019 1.1389867 0.9458730

        user   system    iowait   softirq
5  0.8608547 17.34981 1.9231809 0.2904998
3 18.2146822 29.54964 1.0083868 0.4555689
1 34.2602311 14.59352 2.1286384 0.4804927
4 51.2372786 16.59491 0.9846103 0.6036279
2 46.5574223 48.33826 0.8727966 0.5763317

       user   system    iowait   softirq
3  6.160854 12.27166 2.7180213 0.4205629
5 24.053710 14.81638 2.3995189 0.8574963
2 21.429616 23.08915 2.5504687 0.3179207
1 60.815512 19.80336 0.5728926 0.6204325
4 51.904482 41.16123 1.4506473 0.4958558

        user   system    iowait   softirq
1  0.3825501 11.96309 2.5218922 0.5716551
4 32.0389338 14.17115 1.5228298 0.7062680
5 21.5607316 26.65117 1.5145201 0.7449042
3 52.3129443 19.69224 1.8102613 0.2807803
2 49.4202701 42.17412 0.9117533 0.3053583

       user    system    iowait   softirq
3  4.171321  7.658580 0.7936146 0.4703482
1 28.240564  9.697188 2.5239934 0.7671998
2 20.270235 29.771809 1.6262548 0.9784528
5 56.172679 17.145697 1.8994427 0.6239546
4 45.215629 49.614792 2.6190404 0.6012096

       user    system    iowait   softirq
3  1.199519  7.617154 0.7401247 0.9481409
4 30.815925 10.858207 1.0196033 0.7041361
1 26.980746 23.848647 2.3079797 0.8422254
5 54.224321 15.158682 2.5831571 0.7927518
2 49.453446 40.284798 0.3248522 0.4365671

        user   system    iowait   softirq
5  0.5928445 23.90266 1.7917849 0.2382984
3 20.0852195 33.19493 2.0507588 0.6378654
1 38.4317996 19.42973 1.1074921 0.3915256
2 59.0815985 15.60720 1.7329540 0.5038960
4 36.4005030 53.93129 0.9688997 0.1893473

       user    system   iowait   softirq
5  6.076615  5.308710 1.677103 0.5869592
4 26.446295  7.847323 1.005803 0.6123247
2 22.658484 25.099934 1.629861 0.7346815
1 59.975372 13.225732 2.173707 0.2287654
3 49.349087 44.065803 1.141421 0.2808886

       user    system    iowait    softirq
4  7.105594  5.040077 2.7335351 0.09333311
5 25.450514  7.778472 1.7991198 0.47553647
2 19.153048 28.804260 0.7360976 0.29414235
1 60.240922 16.123625 2.0913095 0.55214432
3 48.339562 48.044659 2.0041590 0.37140830

        user   system    iowait   softirq
1  0.9095587 14.60560 0.9216783 0.4571506
5 21.0022738 25.03384 1.1619854 0.8051541
3 30.8665976 16.68188 1.7162906 0.5224712
2 50.7232957 21.93086 1.2695481 0.9105562
4 49.9339044 44.83587 1.0102649 0.2339471

       user    system   iowait   softirq
1  8.180032  3.311279 3.147079 0.6227715
4 25.255009  3.708347 2.008287 0.4333518
5 17.737149 33.045714 1.438896 0.7998162
2  1.982874 49.479836 1.800963 0.7915812
3 61.335350 18.268202 1.565830 0.4928342

