[1] "cluster 1"
  cluster      user     system     iowait    softirq
5       5  3.786517  0.4483773 0.03808826 0.01324445
2       2 20.544683  2.2433864 0.06552283 0.12082967
1       1 34.502336  2.7702786 0.04011255 0.26831005
4       4 57.218328  3.6768818 0.01621823 0.27408665
3       3 27.309430 38.8017971 0.02792401 0.04602310

[1] "cluster 2"
  cluster       user     system     iowait     softirq
5       5  0.5591402  0.1162159 0.06790919 0.005819538
1       1  5.7108915  0.7296321 0.02495967 0.016908138
4       4 23.8073064  2.1920895 0.06825907 0.162414691
2       2 41.9738825  3.2336296 0.02846972 0.281725826
3       3 27.3094300 38.8017971 0.02792401 0.046023100

[1] "cluster 3"
  cluster       user     system     iowait     softirq
4       4  0.5591402  0.1162159 0.06790919 0.005819538
3       3  5.7108915  0.7296321 0.02495967 0.016908138
1       1 23.8073064  2.1920895 0.06825907 0.162414691
5       5 41.9738825  3.2336296 0.02846972 0.281725826
2       2 27.3094300 38.8017971 0.02792401 0.046023100

[1] "cluster 4"
  cluster      user     system     iowait    softirq
2       2  3.786517  0.4483773 0.03808826 0.01324445
3       3 20.544683  2.2433864 0.06552283 0.12082967
4       4 34.502336  2.7702786 0.04011255 0.26831005
1       1 57.218328  3.6768818 0.01621823 0.27408665
5       5 27.309430 38.8017971 0.02792401 0.04602310

[1] "cluster 5"
  cluster       user     system     iowait     softirq
3       3  0.5591402  0.1162159 0.06790919 0.005819538
1       1  5.7108915  0.7296321 0.02495967 0.016908138
5       5 23.8073064  2.1920895 0.06825907 0.162414691
4       4 41.9738825  3.2336296 0.02846972 0.281725826
2       2 27.3094300 38.8017971 0.02792401 0.046023100

[1] "cluster 6"
  cluster      user     system     iowait    softirq
2       2  3.786517  0.4483773 0.03808826 0.01324445
4       4 20.544683  2.2433864 0.06552283 0.12082967
3       3 34.502336  2.7702786 0.04011255 0.26831005
1       1 57.218328  3.6768818 0.01621823 0.27408665
5       5 27.309430 38.8017971 0.02792401 0.04602310

[1] "cluster 7"
  cluster      user     system     iowait    softirq
2       2  3.786517  0.4483773 0.03808826 0.01324445
5       5 20.544683  2.2433864 0.06552283 0.12082967
4       4 34.502336  2.7702786 0.04011255 0.26831005
3       3 57.218328  3.6768818 0.01621823 0.27408665
1       1 27.309430 38.8017971 0.02792401 0.04602310

[1] "cluster 8"
  cluster       user     system     iowait     softirq
2       2  0.5591402  0.1162159 0.06790919 0.005819538
1       1  5.7108915  0.7296321 0.02495967 0.016908138
5       5 23.8073064  2.1920895 0.06825907 0.162414691
4       4 41.9738825  3.2336296 0.02846972 0.281725826
3       3 27.3094300 38.8017971 0.02792401 0.046023100

[1] "cluster 9"
  cluster       user     system     iowait     softirq
3       3  0.5591402  0.1162159 0.06790919 0.005819538
5       5  5.7108915  0.7296321 0.02495967 0.016908138
1       1 23.8073064  2.1920895 0.06825907 0.162414691
4       4 41.9738825  3.2336296 0.02846972 0.281725826
2       2 27.3094300 38.8017971 0.02792401 0.046023100

[1] "cluster 10"
  cluster       user     system     iowait     softirq
2       2  0.5591402  0.1162159 0.06790919 0.005819538
3       3  5.7108915  0.7296321 0.02495967 0.016908138
4       4 23.8073064  2.1920895 0.06825907 0.162414691
5       5 41.9738825  3.2336296 0.02846972 0.281725826
1       1 27.3094300 38.8017971 0.02792401 0.046023100

[1] "cluster 11"
  cluster       user     system     iowait     softirq
2       2  0.5591402  0.1162159 0.06790919 0.005819538
5       5  5.7108915  0.7296321 0.02495967 0.016908138
1       1 23.8073064  2.1920895 0.06825907 0.162414691
4       4 41.9738825  3.2336296 0.02846972 0.281725826
3       3 27.3094300 38.8017971 0.02792401 0.046023100

[1] "cluster 12"
  cluster       user     system     iowait     softirq
1       1  0.5591402  0.1162159 0.06790919 0.005819538
3       3  5.7108915  0.7296321 0.02495967 0.016908138
5       5 23.8073064  2.1920895 0.06825907 0.162414691
4       4 41.9738825  3.2336296 0.02846972 0.281725826
2       2 27.3094300 38.8017971 0.02792401 0.046023100

[1] "cluster 13"
  cluster       user     system     iowait     softirq
4       4  0.5591402  0.1162159 0.06790919 0.005819538
3       3  5.7108915  0.7296321 0.02495967 0.016908138
2       2 23.8073064  2.1920895 0.06825907 0.162414691
5       5 41.9738825  3.2336296 0.02846972 0.281725826
1       1 27.3094300 38.8017971 0.02792401 0.046023100

[1] "cluster 14"
  cluster      user     system      iowait    softirq
1       1  4.108944  0.4923972 0.037650488 0.01355174
3       3 23.563035  2.1622226 0.066880781 0.15895056
5       5 41.973883  3.2336296 0.028469720 0.28172583
2       2 22.124029 33.7042943 0.039488327 0.04463184
4       4 37.993540 49.2219110 0.002041651 0.04820272

[1] "cluster 15"
  cluster      user     system     iowait    softirq
2       2  3.786517  0.4483773 0.03808826 0.01324445
5       5 20.544683  2.2433864 0.06552283 0.12082967
4       4 34.502336  2.7702786 0.04011255 0.26831005
3       3 57.218328  3.6768818 0.01621823 0.27408665
1       1 27.309430 38.8017971 0.02792401 0.04602310

[1] "cluster 16"
  cluster       user     system     iowait     softirq
1       1  0.5591402  0.1162159 0.06790919 0.005819538
5       5  5.7108915  0.7296321 0.02495967 0.016908138
4       4 23.8073064  2.1920895 0.06825907 0.162414691
3       3 41.9738825  3.2336296 0.02846972 0.281725826
2       2 27.3094300 38.8017971 0.02792401 0.046023100

[1] "cluster 17"
  cluster      user     system      iowait    softirq
3       3  4.108944  0.4923972 0.037650488 0.01355174
1       1 23.563035  2.1622226 0.066880781 0.15895056
5       5 41.973883  3.2336296 0.028469720 0.28172583
4       4 22.124029 33.7042943 0.039488327 0.04463184
2       2 37.993540 49.2219110 0.002041651 0.04820272

[1] "cluster 18"
  cluster      user     system     iowait    softirq
4       4  3.786517  0.4483773 0.03808826 0.01324445
5       5 20.544683  2.2433864 0.06552283 0.12082967
2       2 34.502336  2.7702786 0.04011255 0.26831005
3       3 57.218328  3.6768818 0.01621823 0.27408665
1       1 27.309430 38.8017971 0.02792401 0.04602310

[1] "cluster 19"
  cluster      user     system     iowait    softirq
4       4  3.786517  0.4483773 0.03808826 0.01324445
2       2 20.544683  2.2433864 0.06552283 0.12082967
5       5 34.502336  2.7702786 0.04011255 0.26831005
1       1 57.218328  3.6768818 0.01621823 0.27408665
3       3 27.309430 38.8017971 0.02792401 0.04602310

[1] "cluster 20"
  cluster       user     system     iowait     softirq
2       2  0.5591402  0.1162159 0.06790919 0.005819538
4       4  5.7108915  0.7296321 0.02495967 0.016908138
3       3 23.8073064  2.1920895 0.06825907 0.162414691
5       5 41.9738825  3.2336296 0.02846972 0.281725826
