        user   system   iowait   softirq
3  0.1149717 10.30247 6.538920 1.0666983
5 17.1697526 34.66327 3.888567 1.5766127
2 43.1019369 14.67988 1.905853 0.7328742
4 67.9721806 10.74707 5.688181 0.7606184
1 54.7714938 28.87994 2.092576 1.7915024

        user    system   iowait   softirq
1  5.2606835 19.458317 1.260368 2.0000964
5  0.8625765 23.502688 5.242328 1.4786187
3 40.7583430 16.290310 3.411507 0.5158346
4 48.6516832 30.858477 2.016388 0.8305987
2 71.8439557  6.234468 6.591889 1.7658008

       user    system   iowait   softirq
2  1.750735  2.444319 5.842662 0.9525804
4 42.025133  8.679672 2.445766 1.4888543
1 18.596790 36.521116 6.073526 0.6365153
3 67.774833  5.570691 2.387601 1.0504106
5 56.214159 32.571063 5.908883 0.6424673

        user    system   iowait   softirq
1  0.8163826  1.509251 3.862764 1.3774729
3 41.4098398 11.219998 0.625220 1.4513728
4 18.8256365 34.201634 3.486761 0.4649296
2 70.0240387  5.184724 1.444789 1.7592434
5 54.0336218 31.165645 4.961589 1.3459478

       user   system    iowait   softirq
5 10.353881 12.85081 3.9264815 0.4441126
4 30.427690 15.50037 3.8925245 0.6143871
2  2.985628 58.77540 4.1230886 0.3664414
1 82.089412  1.31733 0.1118117 1.8474832
3 44.977535 39.58291 4.8951174 1.1520485

        user    system   iowait   softirq
5  3.3953042 21.940421 2.067541 1.6489609
3  0.1414835 25.476577 6.110683 0.6392270
4 42.3366018 18.705684 6.183074 1.0053278
1 48.3468350 30.299974 1.529275 0.8163065
2 73.7667313  9.278196 4.985320 0.8965720

       user    system    iowait    softirq
4  1.685143  6.643627 0.5477796 0.06006509
2 40.076247  9.755255 3.8520192 1.63811731
3 69.275148  6.469538 4.0435402 0.63027300
1 54.312841 36.789720 0.8194961 0.13628109
5 55.006017 37.175251 5.1021486 1.50783177

       user    system    iowait   softirq
2  2.143168  8.380278 6.4869435 1.3142977
4 14.494110 30.804271 0.4125186 0.9093742
3 41.321569 12.818920 2.1587516 0.1775172
1 65.363784 13.514827 5.6826737 1.6882855
5 60.717961 27.490258 4.8230344 0.8001648

        user   system   iowait   softirq
4  0.1768037 24.88099 3.098302 0.6930584
3  1.8073791 22.97917 3.257137 1.2685940
5 46.9506796 16.02061 4.761769 1.7140262
1 52.2818980 27.14138 1.842773 0.8697699
2 65.0344689 12.69014 5.591777 1.0069314

       user    system   iowait   softirq
1  4.873653  9.607136 5.782838 0.6438233
5 37.227944 13.907887 3.549573 0.5426586
4  1.656492 60.527064 1.613943 0.7945888
3 74.437741  3.178192 6.517144 1.7493232
2 48.175651 34.329358 4.788515 0.5899095

       user    system   iowait   softirq
1  4.017035  5.465745 5.500518 0.3350916
3 37.670819 12.226872 4.829074 1.4263625
4 21.609552 33.644676 3.177225 1.6948805
5 73.384946  7.672052 1.743694 0.4687711
2 58.212197 34.795944 1.194268 0.8023982

        user     system   iowait   softirq
3  0.2721857  0.8198967 6.668907 1.1811200
5 18.9301569 35.5753687 3.093048 1.8561504
4 41.0832547 13.3687367 5.255922 1.4013662
2 71.2547494  8.8735971 1.324055 0.8097062
1 55.6079976 31.7365749 4.075483 1.0599136

       user    system    iowait   softirq
4  6.473351 20.948267 4.0029243 1.4270898
2  1.074199 27.102454 5.9996091 1.1349003
1 43.921950 14.102255 3.6685543 1.0760713
3 52.287235 29.723993 0.9804785 0.2323809
5 68.469985  7.830999 6.5080873 0.8380421

        user    system   iowait   softirq
5  0.3291464  1.332340 5.087538 0.9241881
1 42.4029600 10.543034 1.362932 0.3064019
4 18.0293494 34.731073 4.991563 0.9650067
3 67.5082160  7.745683 2.808810 0.8661099
