       user    system   iowait   softirq
1  7.561819  2.333425 2.994586 0.9968488
4 23.614044  3.484367 3.588396 0.4799368
3 58.357045  1.576553 3.732440 1.8623941
5 41.134129 24.816551 1.292404 0.9863652
2 44.727849 50.872004 2.113277 1.3244248

       user    system    iowait   softirq
4  6.927022  2.379892 3.0267131 1.2789240
2 24.280386  3.623190 3.6274506 0.2413408
3 57.924673  1.599272 2.6341901 1.0065377
5 42.073436 26.046488 1.2607708 1.2167127
1 45.845095 51.980052 0.3194049 1.4502646

       user    system   iowait   softirq
1  1.755439 10.643486 1.758959 1.5790736
4 30.451688  9.023866 2.439540 0.9955562
2 14.325596 28.146457 2.122475 1.2008009
3 44.805810 16.094964 2.002603 0.5665421
5 48.806394 10.629406 3.996357 0.3970537

       user    system    iowait   softirq
1  8.497446  1.463606 1.9824724 0.9402566
2 22.138543  2.669632 3.6185482 1.0309127
3 60.295983  1.958600 0.6643294 0.8167834
5 43.151713 27.185597 1.7250132 0.1585247
4 52.763538 44.705281 0.5146145 0.7043229

      user    system    iowait   softirq
3 10.31568 16.485758 0.8171987 1.4558490
1 19.40530 16.406735 4.9265088 1.0125514
4 33.75572 29.609956 1.0178770 1.1047650
2 66.89557  2.801018 3.5615490 0.9204214
5 47.80316 47.527290 2.4243657 1.6402161

       user     system   iowait   softirq
5  4.910085  0.7571303 2.102371 1.0734301
4 26.560139  0.6203460 2.540137 1.5466676
2 54.631374  5.0561087 3.801613 0.2437124
3 45.760534 21.4563242 1.637275 0.7798818
1 60.838154 36.1458407 2.477195 0.3194225

       user     system   iowait   softirq
1  9.471612  6.8096015 2.375923 1.6323169
3 20.288756  7.1258287 4.393885 1.0986795
4 61.873889  0.6666604 1.789149 1.1007237
2 40.733462 27.1358820 1.550948 0.7532583
5 53.873681 42.4287893 2.818665 0.2435417

       user     system   iowait   softirq
1  6.633841  0.6104051 1.120602 0.5954976
5 24.890206  0.3760884 2.909546 1.4855024
4 56.870446  2.3340872 4.276555 1.2426569
2 44.803662 26.1434340 2.657817 1.3792686
3 56.303619 38.6352461 2.912079 1.3239235

      user    system    iowait   softirq
3  5.60588  6.889258 2.5601189 1.1866238
2 25.77815  7.512596 1.5065691 0.9900080
4 37.44275 24.478668 0.7178847 0.7894283
5 56.93572  4.653665 1.5864402 0.6435555
1 42.73757 54.740413 1.6395926 0.5230792

       user    system    iowait    softirq
4  5.817232 10.615699 0.7072625 0.08616477
3 23.441223 11.473988 5.0892510 0.85952032
2 41.836835 25.269502 1.2156339 1.51346181
5 60.309195  3.975863 3.9695352 1.83833359
1 56.240387 40.987703 0.8972990 1.18560423

       user    system   iowait   softirq
3  7.254044  1.845962 3.718032 0.2174559
2 23.844679  3.738821 4.090437 1.3302294
4 58.302816  2.135578 3.846412 0.4459113
5 42.266153 25.356410 1.011848 0.7484111
1 47.405165 47.619640 2.158501 1.1840907

      user    system    iowait   softirq
2 11.58198 20.138379 2.5719609 0.1067233
5 18.29071 20.279009 3.4773297 0.5705767
3 36.42167 32.170446 0.7169414 0.9026945
4 70.20483  2.285933 1.8511764 1.0709558
1 46.03812 47.176836 2.6696573 0.8032504

       user    system    iowait   softirq
2  6.117918 12.592237 1.2360575 0.8894431
5 24.964729 12.417600 4.2579431 1.4246876
3 34.004054 23.332174 1.2081328 1.3432853
4 60.020057  1.062146 4.6068140 0.6757765
1 40.369740 57.416964 0.9265317 1.0130334

       user    system   iowait   softirq
3  4.706835  1.381432 1.882802 1.1162794
1 26.697317  1.585373 2.972350 0.6257117
5 55.532688  1.185433 1.483934 1.6484546
2 43.808640 25.721738 2.875163 0.9570968
4 55.576403 38.918887 2.546899 1.2156849

      user   system    iowait   softirq
2 12.10040 21.24578 1.8471845 0.9025189
3 16.22776 21.49230 2.9991018 0.3267042
4 48.36636 33.63872 0.4857654 0.7975636
5 67.70127 16.76903 3.1828192 0.4956993
1 71.01049 22.87628 4.4106300 0.7844203

      user    system    iowait   softirq
5  6.46246  6.773242 0.4377760 1.1982917
3 24.24205  7.275619 1.4911672 0.6694266
4 52.81921  7.281145 4.3422395 0.4848282
2 41.74034 28.387045 0.4816959 0.7087397
1 74.36396 17.041790 3.7441071 0.4075696

       user     system   iowait   softirq
3  9.531482  0.8557917 4.333339 1.4712164
2 22.758502  0.5198533 2.886307 1.5903062
1 58.489323  5.4006841 4.302067 0.5221044
4 47.708127 23.7177272 1.911009 0.7237014
5 58.213358 34.3656795 3.055716 0.8030718

      user     system   iowait   softirq
3  9.65726 18.7416610 2.136409 1.0009871
1 20.46191 18.6244282 4.878749 1.3859670
5 31.36836 28.9987784 1.352768 0.8661740
4 67.47319  0.9779412 4.349832 1.4900635
2 37.93874 54.0457400 4.156689 0.3545585

       user    system    iowait   softirq
